BDNF_N	NR1_N	      NR2A_N	pAKT_N
0.4301753	2.8163285	5.9901517	0.21883
0.4117703	2.789514	5.6850379	0.2116362
0.4183088	2.6872011	5.6220585	0.2090109
0.3586263	2.4669472	4.9795032	0.2228858
0.3588022	2.3657849	4.7186787	0.2131059
0.3673881	2.385939	4.8076354	0.2185778
0.342709	2.3342238	4.4731301	0.2251728
0.3277027	2.2601351	4.2687346	0.2148342
0.3177204	2.1257251	4.0639501	0.2072216
0.3624622	2.0962664	3.5985873	0.2276488
0.3277924	2.0725725	3.6610582	0.229475
0.3551237	2.0068708	3.4666274	0.2163329
0.3125393	1.9462005	3.3495918	0.2308981
0.3109511	1.958907	3.3492904	0.2257996
0.3446293	1.8611625	3.2871226	0.2218115
0.3777418	2.7357574	6.0675696	0.219049
0.3515906	2.546888	5.595574	0.1991701
0.3501103	2.467733	5.5484004	0.2053227
0.3563969	2.5632227	4.9751958	0.2280865
0.3124797	2.1641815	4.3139384	0.1957861
0.3197007	2.285938	4.57118	0.2069266
0.3877503	2.4375873	4.4492315	0.2585002
0.3497738	2.308371	4.2294118	0.2214932
0.3084882	2.157728	4.0206926	0.2164274
0.3208527	2.1978683	3.5588959	0.2377699
0.3844451	2.4821372	4.109706	0.2880177
0.3042785	2.0534148	3.3813447	0.2516609
0.2913097	1.9134027	2.873623	0.2154223
0.3160556	1.9570164	2.9788243	0.2506321
0.2872504	1.8921659	2.8470046	0.2230415
0.4469583	2.9307172	5.9150394	0.1978971
0.4649639	2.9926889	5.9750285	0.2028105
0.4700556	3.073847	5.927379	0.2051306
0.3934647	2.6067801	5.8081018	0.2182107
0.4112032	2.7579754	6.0066566	0.2236875
0.4212038	2.8311688	6.3682567	0.233017
0.363541	2.4562612	5.1917316	0.2291791
0.3855292	2.5731256	5.4950633	0.2374267
0.3915878	2.6677014	5.9875834	0.2466242
0.3705681	2.5030499	4.9471979	0.2664888
0.3843685	2.5454031	5.1010006	0.2571267
0.3836704	2.6246456	5.6012096	0.2591193
0.3603008	2.3928897	4.5   	0.2787147
0.3715397	2.4726607	4.6520247	0.2781972
0.3607852	2.5388087	5.0081227	0.2872292
0.4029622	2.9335162	6.3172792	0.1923204
0.4012973	2.9192432	6.3068108	0.1925405
0.4179587	2.9258183	6.7661499	0.2010121
0.376029	2.9155853	5.9179573	0.2267336
0.3811247	2.9135579	6.0665367	0.221882
0.3858429	2.9043917	6.318467	0.2168576
0.3427568	2.6351623	5.3079625	0.2288391
0.3575121	2.731909	5.4689869	0.2322536
0.3619353	2.7326365	5.7872556	0.2432569
0.3245732	2.467655	4.3205301	0.2504492
0.3389375	2.4882313	4.260928	0.2512889
0.3342863	2.485155	4.482296	0.2489554
0.308094	2.3715405	4.0511749	0.2480418
0.3263687	2.4419466	4.0364983	0.2668606
0.3319426	2.4297262	4.0664928	0.2568449
0.3151091	2.220944	4.8870968	0.1948529
0.3330421	2.376732	5.2113344	0.2067158
0.3425683	2.3560464	5.3262199	0.207413
0.3222696	2.1778094	4.799273	0.2318634
0.3167086	2.1777848	4.5827565	0.2216803
0.3235434	2.2525798	4.8064772	0.2193999
0.3034904	2.0698087	4.1023467	0.2313153
0.3029769	2.0628672	4.1284763	0.2420682
0.2959105	2.0505401	4.1506559	0.2287809
0.2961664	1.9831697	3.6741468	0.2398317
0.3010802	1.9549529	3.6196277	0.2364974
0.3107318	1.9955576	3.7886369	0.2405892
0.3227323	1.9665376	3.4375	0.2558075
0.3189873	2.0185654	3.457384	0.259353
0.3212507	2.0110681	3.4997233	0.2700609
0.4058618	2.9214348	5.167979	0.2071741
0.3885837	2.8625751	5.1941631	0.2234335
0.4005615	2.9681551	5.3508202	0.2087902
0.3483463	2.6249012	4.7275087	0.2058923
0.3500507	2.6345092	4.7356024	0.2105263
0.34391	2.5980851	4.7646404	0.2039635
0.3119617	2.4397813	4.256596	0.2255639
0.299948	2.317768	4.1501041	0.2046046
0.305906	2.4157047	4.3385235	0.2067114
0.2662232	2.0296885	3.3874108	0.2152823
0.2624309	2.0004875	3.459701	0.2167696
0.2584288	2.0281506	3.5425532	0.2140753
0.2612851	1.8928426	3.0618137	0.2163481
0.2611643	1.9009171	3.0163477	0.2127193
0.2579095	1.860032	2.9385262	0.2182619
0.3499291	2.7286499	4.1909107	0.1929483
0.3552061	2.7161063	4.3790672	0.2002892
0.3623775	2.7149537	4.4433055	0.1972844
0.3021324	2.385073	3.7062851	0.2161616
0.3083277	2.4265671	3.8170401	0.1981217
0.3065156	2.4286686	3.8435127	0.2010198
0.2660969	2.0092593	3.1618234	0.1876068
0.264008	2.0038593	3.1037736	0.1851058
0.2681539	2.0950741	3.3070819	0.2039227
0.2557789	1.9613065	2.858794	0.1844221
0.2513504	1.9444632	2.8549966	0.1890614
0.2960855	2.018279	2.9686153	0.1969305
0.2843468	1.7582583	2.5549925	0.1991366
0.2362072	1.7110529	2.5455396	0.1731812
0.2158434	1.7429637	2.5280522	0.193849
0.3372209	2.5593799	5.0483573	0.2331105
0.3322526	2.6344798	4.9674373	0.2117282
0.3411731	2.710598	5.2314642	0.2199914
0.3073797	2.270156	4.4483095	0.2090377
0.3237291	2.4051995	4.5669813	0.2164266
0.3265445	2.4903259	4.5624576	0.2279362
0.3040487	2.3044418	4.0023585	0.2183569
0.3131732	2.435377	4.2584921	0.2386081
0.305141	2.425995	4.0068408	0.2549751
0.2843299	1.9815646	3.203498	0.2273694
0.311242	2.083947	3.0770741	0.2358861
0.3101233	2.2291881	3.4964029	0.2479445
0.3361095	2.1311719	2.9997026	0.2468769
0.2952354	2.0340329	2.9699376	0.2694271
0.3315987	2.0797918	3.0471234	0.2437121
0.3933145	2.8026365	4.7707156	0.2431262
0.3945253	2.9535796	4.8204441	0.2451187
0.3904708	2.9729499	4.8914199	0.2479119
0.3691723	2.7545836	4.4518072	0.25956
0.3577769	2.6512286	4.261675	0.2531841
0.3508338	2.7055758	4.2257686	0.2569046
0.3285691	2.4931749	3.9805685	0.2590332
0.3311952	2.4336671	3.8973717	0.2728411
0.3092155	2.4373191	3.6310739	0.2699162
0.3102041	2.2869388	3.3071429	0.2555102
0.3131926	2.379469	3.3290822	0.25507
0.3353572	2.2837482	3.1631249	0.2620927
0.3052967	2.2103973	3.0296714	0.293281
0.3237519	2.2884518	3.1701967	0.2818961
0.3081578	2.1907528	3.0232389	0.2725732
0.4418816	2.7056052	4.760086	0.2220569
0.4478246	2.8413902	4.975746	0.2237873
0.4312286	2.7622777	4.4561103	0.2198564
0.3868224	2.5810841	4.3190066	0.2362214
0.3879125	2.541558	4.6016555	0.2410704
0.3814774	2.484785	4.5684675	0.2363837
0.3631642	2.4067119	4.0922893	0.2614196
0.3448368	2.3893404	4.126449	0.2378414
0.3519732	2.3755184	4.2589967	0.2406689
0.3350822	2.2378454	3.8279119	0.2453655
0.3384396	2.2465265	3.8338083	0.2508016
0.3381399	2.3102019	3.6425739	0.2530642
0.3129386	2.1298246	3.5010965	0.2635965
0.3265896	2.1542908	3.4513117	0.2712317
0.3061821	2.0597327	3.3966165	0.2520886
0.3084903	2.6146601	4.3296478	0.2304122
0.289044	2.4956545	4.329734	0.226758
0.3218485	2.6013126	4.6173093	0.230927
0.2995336	2.5044049	4.1615132	0.2342373
0.2974116	2.4691254	3.8279479	0.2373541
0.2830406	2.4156953	4.0807749	0.2326383
0.3167019	2.5589852	3.7150106	0.2454545
0.2945768	2.4213229	3.8841413	0.2545193
0.2813166	2.2993224	3.7225557	0.2662149
0.343385	2.5509372	3.4371095	0.271937
0.3262101	2.4250772	3.6519053	0.2754892
0.3252075	2.4053423	3.6268154	0.2691909
0.3245505	2.349349	3.2203968	0.2991321
0.3659864	2.5653061	3.457483	0.3265306
0.3623898	2.5106105	3.5223637	0.3176624
0.2818718	2.4859339	4.3415672	0.2562097
0.2983758	2.4810977	4.7126855	0.2495099
0.3037058	2.5240664	4.6093994	0.245492
0.2933538	2.3097557	3.9256791	0.2562788
0.3048314	2.3757386	3.8835593	0.2572124
0.2982825	2.3696109	2.3506835	0.2478093
0.3001508	2.272786	3.4878259	0.2863607
0.2994583	2.2916576	3.671506	0.2706392
0.2944625	2.2716612	3.7094463	0.2627579
0.3043478	2.1389839	3.2071324	0.2777235
0.2996292	2.1461063	3.2788628	0.2561187
0.3215892	2.1801599	3.1846577	0.2743628
0.3171875	2.13875	3.045	      0.314375
0.3176873	2.1156357	2.917936	0.3108486
0.3463542	2.1861979	3.0950521	0.3138021
0.2654676	2.3868705	4.5524281	0.2165468
0.1151814	2.2844311	4.2993131	0.2090525
0.2668971	2.2617978	4.3423509	0.2088159
0.232139	2.0327726	3.8811449	0.2043915
0.2551724	2.0449918	3.7133005	0.1960591
0.2394521	2.0444932	3.6267397	0.2015342
0.2210289	1.8809334	3.3843808	0.1946433
0.2173856	1.8060131	3.1833987	0.2057516
0.2222367	1.8378519	3.2488269	0.193952
0.2123868	1.6704645	2.8196027	0.1701724
0.1981587	1.6349554	2.7268742	0.1795996
0.2201398	1.7927255	3.0250953	0.1994917
0.1859795	1.4033291	2.2909731	0.1646927
0.1972707	1.496977	2.4738297	0.1696321
0.2286437	1.6876824	2.7038334	0.1860284
0.2945848	2.1130686	3.8131408	0.2314801
0.2905896	2.1488527	3.8806274	0.2335173
0.2794735	2.0981518	3.4819378	0.2346682
0.2826616	1.9451008	3.3052467	0.2388812
0.2849841	1.9497709	3.1436376	0.2650687
0.258192	1.8000988	3.0088918	0.2372798
0.2694073	1.8852254	2.9192404	0.2464524
0.2527429	1.8116896	2.7079593	0.2248155
0.2480016	1.7835731	2.8341327	0.2416067
0.3086486	1.9232432	2.8132432	0.2759459
0.2800104	1.8671712	2.7400835	0.2836639
0.2679834	1.7247013	2.4623263	0.2633504
0.3172572	1.8536745	2.5528215	0.3412073
0.2837139	1.7010654	2.3327245	0.2730594
0.2721948	1.7204069	2.2053021	0.2953144
0.2667248	2.0378127	3.8305701	0.2193136
0.26	      2.0748905	3.6554745	0.2205839
