BDNF4  	pAKT4  
0.4301753	0.21883
0.4117703	0.211636
0.4183088	0.209011
0.3586263	0.222886
0.3588022	0.213106
0.3673881	0.218578
0.342709	0.225173
0.3277027	0.214834
0.3177204	0.207222
0.3624622	0.227649
0.3277924	0.229475
0.3551237	0.216333
0.3125393	0.230898
0.3109511	0.2258
0.3446293	0.221812
0.3777418	0.219049
0.3515906	0.19917
0.3501103	0.205323
0.3563969	0.228087
0.3124797	0.195786
0.3197007	0.206927
0.3877503	0.2585
0.3497738	0.221493
0.3084882	0.216427
0.3208527	0.23777
0.3844451	0.288018
0.3042785	0.251661
0.2913097	0.215422
0.3160556	0.250632
0.2872504	0.223042
0.4469583	0.197897
0.4649639	0.202811
0.4700556	0.205131
0.3934647	0.218211
0.4112032	0.223688
0.4212038	0.233017
0.363541	0.229179
0.3855292	0.237427
0.3915878	0.246624
0.3705681	0.266489
0.3843685	0.257127
0.3836704	0.259119
0.3603008	0.278715
0.3715397	0.278197
0.3607852	0.287229
0.4029622	0.19232
0.4012973	0.192541
0.4179587	0.201012
0.376029	0.226734
0.3811247	0.221882
0.3858429	0.216858
0.3427568	0.228839
0.3575121	0.232254
0.3619353	0.243257
0.3245732	0.250449
0.3389375	0.251289
0.3342863	0.248955
0.308094	0.248042
0.3263687	0.266861
0.3319426	0.256845
0.3151091	0.194853
0.3330421	0.206716
0.3425683	0.207413
0.3222696	0.231863
0.3167086	0.22168
0.3235434	0.2194
0.3034904	0.231315
0.3029769	0.242068
0.2959105	0.228781
0.2961664	0.239832
0.3010802	0.236497
0.3107318	0.240589
0.3227323	0.255808
0.3189873	0.259353
0.3212507	0.270061
0.4058618	0.207174
0.3885837	0.223434
0.4005615	0.20879
0.3483463	0.205892
0.3500507	0.210526
0.34391	0.203964
0.3119617	0.225564
0.299948	0.204605
0.305906	0.206711
0.2662232	0.215282
0.2624309	0.21677
0.2584288	0.214075
0.2612851	0.216348
0.2611643	0.212719
0.2579095	0.218262
0.3499291	0.192948
0.3552061	0.200289
0.3623775	0.197284
0.3021324	0.216162
0.3083277	0.198122
0.3065156	0.20102
0.2660969	0.187607
0.264008	0.185106
0.2681539	0.203923
0.2557789	0.184422
0.2513504	0.189061
0.2960855	0.196931
0.2843468	0.199137
0.2362072	0.173181
0.2158434	0.193849
0.3372209	0.233111
0.3322526	0.211728
0.3411731	0.219991
0.3073797	0.209038
0.3237291	0.216427
0.3265445	0.227936
0.3040487	0.218357
0.3131732	0.238608
0.305141	0.254975
0.2843299	0.227369
0.311242	0.235886
0.3101233	0.247945
0.3361095	0.246877
0.2952354	0.269427
0.3315987	0.243712
0.3933145	0.243126
0.3945253	0.245119
0.3904708	0.247912
0.3691723	0.25956
0.3577769	0.253184
0.3508338	0.256905
0.3285691	0.259033
0.3311952	0.272841
0.3092155	0.269916
0.3102041	0.25551
0.3131926	0.25507
0.3353572	0.262093
0.3052967	0.293281
0.3237519	0.281896
0.3081578	0.272573
0.4418816	0.222057
0.4478246	0.223787
0.4312286	0.219856
0.3868224	0.236221
0.3879125	0.24107
0.3814774	0.236384
0.3631642	0.26142
0.3448368	0.237841
0.3519732	0.240669
0.3350822	0.245366
0.3384396	0.250802
0.3381399	0.253064
0.3129386	0.263597
0.3265896	0.271232
0.3061821	0.252089
0.3084903	0.230412
0.289044	0.226758
0.3218485	0.230927
0.2995336	0.234237
0.2974116	0.237354
0.2830406	0.232638
0.3167019	0.245455
0.2945768	0.254519
0.2813166	0.266215
0.343385	0.271937
0.3262101	0.275489
0.3252075	0.269191
0.3245505	0.299132
0.3659864	0.326531
0.3623898	0.317662
0.2818718	0.25621
0.2983758	0.24951
0.3037058	0.245492
0.2933538	0.256279
0.3048314	0.257212
0.2982825	0.247809
0.3001508	0.286361
0.2994583	0.270639
0.2944625	0.262758
0.3043478	0.277724
0.2996292	0.256119
0.3215892	0.274363
0.3171875	0.314375
0.3176873	0.310849
0.3463542	0.313802
0.2654676	0.216547
0.1151814	0.209053
0.2668971	0.208816
0.232139	0.204392
0.2551724	0.196059
0.2394521	0.201534
0.2210289	0.194643
0.2173856	0.205752
0.2222367	0.193952
0.2123868	0.170172
0.1981587	0.1796
0.2201398	0.199492
0.1859795	0.164693
0.1972707	0.169632
0.2286437	0.186028
0.2945848	0.23148
0.2905896	0.233517
0.2794735	0.234668
0.2826616	0.238881
0.2849841	0.265069
0.258192	0.23728
0.2694073	0.246452
0.2527429	0.224816
0.2480016	0.241607
0.3086486	0.275946
0.2800104	0.283664
0.2679834	0.26335
0.3172572	0.341207
0.2837139	0.273059
0.2721948	0.295314
0.2667248	0.219314
0.26	0.220584
0.2470907	0.214208
0.2683943	0.236136
0.267684	0.22675
0.2392069	0.216342
0.3138345	0.235098
0.26097	0.228428
