GENDER	HEIGHT	WEIGHT	HEIGHT.F
M	184	82	185
M	186	83	180
M	186	88	182
M	179	74	177
M	175	68	175
M	181	79	176
M	187	80	179
M	174	85	172
M	179	81	182
M	175	78	174
M	166	73	169
M	179	76	180
M	181	86	174
M	179	74	173
M	176	74	176
M	186	74	184
M	175	81	172
M	170	61	166
M	182	83	183
M	177	85	176
M	182	73	178
M	174	79	168
M	172	77	166
M	164	67	166
M	173	73	170
M	181	72	176
M	175	72	175
M	174	77	170
M	175	69	178
M	183	81	184
M	188	79	184
M	179	87	169
M	180	84	178
M	174	72	171
M	179	69	170
M	177	74	172
M	170	69	164
M	181	76	181
M	182	72	178
M	175	71	169
M	182	82	179
M	185	78	185
M	190	91	184
M	179	69	177
M	177	79	177
M	176	70	171
M	189	83	182
M	177	79	169
M	178	78	165
M	172	65	167
M	175	70	170
M	172	72	164
M	179	76	175
M	173	70	168
M	173	71	175
M	181	79	181
M	171	72	175
M	170	71	164
M	182	82	175
M	190	91	186
M	185	79	180
M	181	74	176
M	180	69	172
M	174	65	166
M	182	75	180
M	171	74	177
M	178	81	179
M	181	77	177
M	179	86	174
M	174	82	174
M	176	78	174
M	173	79	163
M	183	81	173
M	171	64	168
M	178	65	168
M	176	78	171
M	176	67	173
M	174	65	168
M	185	81	186
M	171	74	165
M	183	87	175
M	167	64	164
M	178	85	177
M	175	76	172
M	175	79	175
M	182	81	174
M	175	65	172
M	179	85	172
M	178	81	176
M	180	68	178
M	175	86	179
M	180	82	174
M	175	75	171
M	180	87	173
M	165	65	165
M	175	72	172
M	175	66	175
M	185	80	190
M	170	72	165
M	175	85	176
M	185	83	175
M	180	96	173
M	170	62	176
M	180	79	176
M	180	76	173
M	175	75	178
M	175	88	182
M	180	69	178
M	180	87	172
M	175	73	171
M	175	61	172
M	175	75	175
M	170	74	164
M	185	73	186
M	180	84	174
M	170	73	160
M	180	84	177
M	175	81	170
M	170	70	161
F	159	67	176
F	154	48	177
F	171	76	184
F	158	65	167
F	162	59	174
F	161	62	179
F	167	71	176
F	154	62	164
F	155	63	175
F	155	54	163
F	169	64	174
F	165	61	178
F	164	64	177
F	163	66	180
F	165	75	177
F	162	70	175
F	166	75	175
F	149	54	162
F	155	62	167
F	154	60	171
F	158	66	166
F	166	64	179
F	160	61	175
F	165	73	178
F	166	77	173

F	160	67	173
F	164	69	172
F	162	72	183
F	159	62	184
F	158	63	171
F	168	65	181
F	164	73	173
F	156	60	169
F	163	58	175
F	175	82	182
F	169	64	190
F	163	69	175
F	172	80	184
F	166	47	176
F	164	69	177
F	166	67	180
F	167	64	183
F	166	70	179
F	164	64	176
F	166	70	172
F	159	62	173
F	166	68	179
F	159	65	170
F	169	72	185
F	160	68	172
F	154	58	170
F	159	60	170
F	162	68	172
F	162	67	174
F	163	71	180
F	164	76	178
F	164	66	181
F	158	65	175
F	152	57	169
F	161	65	174
F	164	74	182
F	166	67	175
F	167	61	179
F	155	50	173
F	159	70	175
F	152	63	160
F	164	75	174
F	166	71	181
F	162	54	179
F	171	71	179
F	169	77	185
F	164	64	187
F	172	78	184
F	163	77	177
F	157	58	178
F	163	61	183
F	162	71	173
F	165	71	175
F	160	64	180
F	156	58	173
F	157	66	175
F	167	75	175
F	159	72	178
F	161	74	179
F	163	73	168
F	160	66	174
F	155	61	179
F	154	63	171
F	167	61	180
F	171	68	185
F	164	69	178
F	155	65	172
F	163	63	176
F	160	48	180
F	161	68	170
F	170	74	178
F	160	61	181
F	160	73	169
F	166	72	168
F	170	74	184
F	157	61	165
F	166	67	181
F	158	63	174
F	161	60	183
F	160	57	178
F	163	66	169
F	166	78	179
F	146	55	163
F	160	76	173
F	162	66	170
F	153	68	174
F	157	66	167
F	168	71	178
F	153	60	166
F	151	64	172
F	160	58	174
F	153	57	160
F	165	58	179
F	158	63	170
F	160	68	187
F	166	72	179
F	170	76	185
F	160	60	181
F	165	74	175
F	155	53	173
F	160	68	170
F	160	54	175
F	160	63	173
F	155	64	176
F	160	55	170
F	160	65	172
F	155	57	167
F	165	68	174
F	165	69	181
F	160	66	172
F	155	74	177
F	160	63	176
F	165	70	184
F	165	74	173
F	160	73	179
F	150	53	166
F	170	70	187
F	170	71	181
F	170	68	185
F	155	70	175
F	160	56	171
F	160	57	178
F	160	48	172
F	165	87	174
F	165	63	184
F	165	72	179
			
